subsector,geography,other_index_1,other_index_2,input_type,interpolation_method,extrapolation_method,extrapolation_growth
commercial space heating,census division,,,intensity,linear_interpolation,nearest,
commercial air conditioning,census division,,,intensity,linear_interpolation,nearest,
commercial refrigeration,us,building types,,intensity,linear_interpolation,nearest,
commercial ventilation,us,building types,,intensity,linear_interpolation,nearest,
residential lighting,us,residential lighting category,,intensity,linear_interpolation,nearest,
military use,census division,housing types,,intensity,linear_interpolation,nearest,
light duty autos,census division,,,intensity,linear_interpolation,nearest,
light duty trucks,us,light duty truck class,,intensity,linear_interpolation,nearest,
commercial lighting,us,building types,,intensity,linear_interpolation,nearest,
